Date,Commodity,Price,Market,Quantity
2023-01-01,Soybean,4968.75,Chennai,836
2023-01-02,Soybean,4745.98,Indore,893
2023-01-03,Soybean,4638.57,Surat,851
2023-01-04,Soybean,5315.52,Delhi,625
2023-01-05,Soybean,4877.32,Delhi,474
2023-01-06,Soybean,4719.52,Chennai,936
2023-01-07,Soybean,4737.27,Chennai,652
2023-01-08,Soybean,4840.89,Surat,480
2023-01-09,Soybean,4835.8,Mumbai,183
2023-01-10,Soybean,4974.13,Delhi,842
2023-01-11,Soybean,4996.87,Mumbai,990
2023-01-12,Soybean,4982.77,Mumbai,127
2023-01-13,Soybean,5260.55,Delhi,262
2023-01-14,Soybean,5284.69,Chennai,360
2023-01-15,Soybean,4497.96,Mumbai,523
2023-01-16,Soybean,5115.27,Surat,775
2023-01-17,Soybean,4953.14,Chennai,402
2023-01-18,Soybean,4979.29,Indore,109
2023-01-19,Soybean,4725.48,Indore,729
2023-01-20,Soybean,5326.78,Delhi,704
2023-01-21,Soybean,5033.08,Delhi,943
2023-01-22,Soybean,5117.62,Mumbai,356
2023-01-23,Soybean,5138.4,Chennai,375
2023-01-24,Soybean,5229.92,Indore,612
2023-01-25,Soybean,5013.12,Mumbai,675
2023-01-26,Soybean,5074.14,Surat,383
2023-01-27,Soybean,5107.39,Mumbai,206
2023-01-28,Soybean,5229.48,Chennai,786
2023-01-29,Soybean,5076.63,Chennai,303
2023-01-30,Soybean,5106.09,Chennai,404
2023-01-31,Soybean,4970.9,Mumbai,731
2023-02-01,Soybean,4972.95,Surat,923
2023-02-02,Soybean,5326.23,Surat,466
2023-02-03,Soybean,5460.39,Surat,350
2023-02-04,Soybean,5078.26,Chennai,981
2023-02-05,Soybean,5234.6,Delhi,610
2023-02-06,Soybean,4928.37,Chennai,119
2023-02-07,Soybean,5092.62,Delhi,896
2023-02-08,Soybean,5092.42,Mumbai,218
2023-02-09,Soybean,5493.87,Indore,297
2023-02-10,Soybean,5260.77,Chennai,856
2023-02-11,Soybean,4924.55,Indore,936
2023-02-12,Soybean,4774.54,Mumbai,790
2023-02-13,Soybean,5008.29,Surat,589
2023-02-14,Soybean,5258.38,Surat,792
2023-02-15,Soybean,5295.35,Delhi,315
2023-02-16,Soybean,5386.25,Indore,910
2023-02-17,Soybean,4876.22,Delhi,316
2023-02-18,Soybean,5362.78,Delhi,896
2023-02-19,Soybean,5261.23,Mumbai,138
2023-02-20,Soybean,5356.9,Indore,277
2023-02-21,Soybean,5400.12,Surat,393
2023-02-22,Soybean,5742.34,Surat,250
2023-02-23,Soybean,5494.18,Chennai,407
2023-02-24,Soybean,5304.94,Delhi,845
2023-02-25,Soybean,5375.03,Surat,474
2023-02-26,Soybean,5106.04,Delhi,440
2023-02-27,Soybean,5092.39,Mumbai,875
2023-02-28,Soybean,4932.02,Chennai,451
2023-03-01,Soybean,5038.86,Chennai,594
2023-03-02,Soybean,5444.42,Delhi,292
2023-03-03,Soybean,5140.63,Delhi,526
2023-03-04,Soybean,5421.87,Delhi,513
2023-03-05,Soybean,5591.95,Delhi,244
2023-03-06,Soybean,5377.96,Delhi,747
2023-03-07,Soybean,5459.35,Mumbai,687
2023-03-08,Soybean,5164.83,Indore,939
2023-03-09,Soybean,5325.73,Mumbai,913
2023-03-10,Soybean,5645.8,Surat,900
2023-03-11,Soybean,5130.99,Mumbai,246
2023-03-12,Soybean,5549.39,Chennai,403
2023-03-13,Soybean,5708.17,Chennai,460
2023-03-14,Soybean,5457.79,Delhi,319
2023-03-15,Soybean,5032.55,Delhi,803
2023-03-16,Soybean,5437.84,Mumbai,260
