Date,Commodity,State,District,Price,Quantity,Market
2016-01-10,Mustard,Maharashtra,Indore,7200.0,713.51,Indore
2016-01-11,Mustard,Maharashtra,Indore,7200.0,418.04,Indore
2016-01-12,Mustard,Maharashtra,Indore,7200.0,862.77,Indore
2016-01-13,Mustard,Maharashtra,Indore,7200.0,134.25,Indore
2016-01-14,Mustard,Maharashtra,Indore,7200.0,542.73,Indore
2016-01-15,Mustard,Maharashtra,Indore,7200.0,499.86,Indore
2016-01-16,Mustard,Maharashtra,Indore,7200.0,424.6,Indore
2016-01-17,Mustard,Maharashtra,Indore,7200.0,854.8,Indore
2016-01-18,Mustard,Maharashtra,Indore,7200.0,474.7,Indore
2016-01-19,Mustard,Maharashtra,Indore,7200.0,342.99,Indore
2016-01-20,Mustard,Maharashtra,Indore,7200.0,956.88,Indore
2016-01-21,Mustard,Maharashtra,Indore,7200.0,708.31,Indore
2016-01-22,Mustard,Maharashtra,Indore,7200.0,174.12,Indore
2016-01-23,Mustard,Maharashtra,Indore,7200.0,847.68,Indore
2016-01-24,Mustard,Maharashtra,Indore,7200.0,847.11,Indore
2016-01-25,Mustard,Maharashtra,Indore,7200.0,643.67,Indore
2016-01-26,Mustard,Maharashtra,Indore,7200.0,741.48,Indore
2016-01-27,Mustard,Maharashtra,Indore,7200.0,321.03,Indore
2016-01-28,Mustard,Maharashtra,Indore,7200.0,633.78,Indore
2016-01-29,Mustard,Maharashtra,Indore,7200.0,886.89,Indore
2016-01-30,Mustard,Maharashtra,Indore,7200.0,309.92,Indore
2016-01-31,Mustard,Maharashtra,Indore,7200.0,294.96,Indore
2016-02-01,Mustard,Maharashtra,Indore,7200.0,251.28,Indore
2016-02-02,Mustard,Maharashtra,Indore,7200.0,709.71,Indore
2016-02-03,Mustard,Maharashtra,Indore,7200.0,607.9,Indore
2016-02-04,Mustard,Maharashtra,Indore,7200.0,401.44,Indore
2016-02-05,Mustard,Maharashtra,Indore,7200.0,523.78,Indore
2016-02-06,Mustard,Maharashtra,Indore,7200.0,358.58,Indore
2016-02-07,Mustard,Maharashtra,Indore,7200.0,584.44,Indore
2016-02-08,Mustard,Maharashtra,Indore,7200.0,194.55,Indore
2016-02-09,Mustard,Maharashtra,Indore,7200.0,217.25,Indore
2016-02-10,Mustard,Maharashtra,Indore,7200.0,489.75,Indore
2016-02-11,Mustard,Maharashtra,Indore,7200.0,987.45,Indore
2016-02-12,Mustard,Maharashtra,Indore,7200.0,773.51,Indore
2016-02-13,Mustard,Maharashtra,Indore,7200.0,203.53,Indore
2016-02-14,Mustard,Maharashtra,Indore,7200.0,349.56,Indore
2016-02-15,Mustard,Maharashtra,Indore,7200.0,335.39,Indore
2016-02-16,Mustard,Maharashtra,Indore,7200.0,955.17,Indore
2016-02-17,Mustard,Maharashtra,Indore,7200.0,416.3,Indore
2016-02-18,Mustard,Maharashtra,Indore,7200.0,467.06,Indore
2016-02-19,Mustard,Maharashtra,Indore,7200.0,760.6,Indore
2016-02-20,Mustard,Maharashtra,Indore,7200.0,479.79,Indore
2016-02-21,Mustard,Maharashtra,Indore,7200.0,120.21,Indore
2016-02-22,Mustard,Maharashtra,Indore,7200.0,597.44,Indore
2016-02-23,Mustard,Maharashtra,Indore,7200.0,955.89,Indore
2016-02-24,Mustard,Maharashtra,Indore,7200.0,601.26,Indore
2016-02-25,Mustard,Maharashtra,Indore,7200.0,723.32,Indore
2016-02-26,Mustard,Maharashtra,Indore,7200.0,124.35,Indore
2016-02-27,Mustard,Maharashtra,Indore,7200.0,920.77,Indore
2016-02-28,Mustard,Maharashtra,Indore,7200.0,170.63,Indore
2016-02-29,Mustard,Maharashtra,Indore,7200.0,980.04,Indore
2016-03-01,Mustard,Maharashtra,Indore,7200.0,659.78,Indore
2016-03-02,Mustard,Maharashtra,Indore,7200.0,166.1,Indore
2016-03-03,Mustard,Maharashtra,Indore,7200.0,758.32,Indore
2016-03-04,Mustard,Maharashtra,Indore,7200.0,667.96,Indore
2016-03-05,Mustard,Maharashtra,Indore,7200.0,978.33,Indore
2016-03-06,Mustard,Maharashtra,Indore,7200.0,210.7,Indore
2016-03-07,Mustard,Maharashtra,Indore,7200.0,435.49,Indore
2016-03-08,Mustard,Maharashtra,Indore,7200.0,177.99,Indore
2016-03-09,Mustard,Maharashtra,Indore,7200.0,791.33,Indore
2016-03-10,Mustard,Maharashtra,Indore,7200.0,393.81,Indore
2016-03-11,Mustard,Maharashtra,Indore,7200.0,359.68,Indore
2016-03-12,Mustard,Maharashtra,Indore,7200.0,102.13,Indore
2016-03-13,Mustard,Maharashtra,Indore,7200.0,553.66,Indore
2016-03-14,Mustard,Maharashtra,Indore,7200.0,595.84,Indore
2016-03-15,Mustard,Maharashtra,Indore,7200.0,877.01,Indore
2016-03-16,Mustard,Maharashtra,Indore,7200.0,938.82,Indore
2016-03-17,Mustard,Maharashtra,Indore,7200.0,737.54,Indore
2016-03-18,Mustard,Maharashtra,Indore,7200.0,924.83,Indore
2016-03-19,Mustard,Maharashtra,Indore,7200.0,847.41,Indore
2016-03-20,Mustard,Maharashtra,Indore,7200.0,469.27,Indore
2016-03-21,Mustard,Maharashtra,Indore,7200.0,555.75,Indore
2016-03-22,Mustard,Maharashtra,Indore,7200.0,529.47,Indore
2016-03-23,Mustard,Maharashtra,Indore,7200.0,271.55,Indore
2016-03-24,Mustard,Maharashtra,Indore,7200.0,349.04,Indore
2016-03-25,Mustard,Maharashtra,Indore,7200.0,688.37,Indore
2016-03-26,Mustard,Maharashtra,Indore,7200.0,587.77,Indore
