Commodity,Date,Forecast_Price
Groundnut,2026-01-01,5536.213380022672
Groundnut,2026-02-01,5764.358007760283
Groundnut,2026-03-01,5940.394362318254
Groundnut,2026-04-01,6004.971483320685
Groundnut,2026-05-01,5946.629021649982
Groundnut,2026-06-01,5780.581685446548
Groundnut,2026-07-01,5554.064820355168
Groundnut,2026-08-01,5329.101016058976
Groundnut,2026-09-01,5167.093655672876
Groundnut,2026-10-01,5111.429674283038
Groundnut,2026-11-01,5176.135706612086
Groundnut,2026-12-01,5342.263146409765
Linseed (Flaxseed),2026-01-01,6631.1163064629545
Linseed (Flaxseed),2026-02-01,6967.671529163363
Linseed (Flaxseed),2026-03-01,7142.95442115626
Linseed (Flaxseed),2026-04-01,7205.0899494196165
Linseed (Flaxseed),2026-05-01,7096.593180739423
Linseed (Flaxseed),2026-06-01,6871.860290297974
Linseed (Flaxseed),2026-07-01,6585.817230297211
Linseed (Flaxseed),2026-08-01,6322.8902864574575
Linseed (Flaxseed),2026-09-01,6152.420636085144
Linseed (Flaxseed),2026-10-01,6119.78446334819
Linseed (Flaxseed),2026-11-01,6229.982951456975
Linseed (Flaxseed),2026-12-01,6449.443425785175
Mustard,2026-01-01,6203.66
Mustard,2026-02-01,6203.66
Mustard,2026-03-01,6203.66
Mustard,2026-04-01,6203.66
Mustard,2026-05-01,6203.66
Mustard,2026-06-01,6203.66
Mustard,2026-07-01,6203.66
Mustard,2026-08-01,6203.66
Mustard,2026-09-01,6203.66
Mustard,2026-10-01,6203.66
Mustard,2026-11-01,6203.66
Mustard,2026-12-01,6203.66
Sesame,2026-01-01,4560.63
Sesame,2026-02-01,4560.63
Sesame,2026-03-01,4560.63
Sesame,2026-04-01,4560.63
Sesame,2026-05-01,4560.63
Sesame,2026-06-01,4560.63
Sesame,2026-07-01,4560.63
Sesame,2026-08-01,4560.63
Sesame,2026-09-01,4560.63
Sesame,2026-10-01,4560.63
Sesame,2026-11-01,4560.63
Sesame,2026-12-01,4560.63
Soybean,2026-01-01,5119.27
Soybean,2026-02-01,5119.27
Soybean,2026-03-01,5119.27
Soybean,2026-04-01,5119.27
Soybean,2026-05-01,5119.27
Soybean,2026-06-01,5119.27
Soybean,2026-07-01,5119.27
Soybean,2026-08-01,5119.27
Soybean,2026-09-01,5119.27
Soybean,2026-10-01,5119.27
Soybean,2026-11-01,5119.27
Soybean,2026-12-01,5119.27
