Commodity,Date,ARIMA_Forecast_Price
Soybean,2026-01-01,6170.25933659443
Soybean,2026-02-01,6393.327148767622
Soybean,2026-03-01,6479.786600780353
Soybean,2026-04-01,6338.231049594082
Soybean,2026-05-01,6031.1182110229165
Soybean,2026-06-01,5632.017950734466
Soybean,2026-07-01,5251.121513821894
Soybean,2026-08-01,4989.4466244968335
Soybean,2026-09-01,4917.577767788359
Soybean,2026-10-01,5054.642548563119
Soybean,2026-11-01,5363.933857905984
Soybean,2026-12-01,5762.484474584163
Mustard,2026-01-01,8744.267388591648
Mustard,2026-02-01,8948.35945568401
Mustard,2026-03-01,9027.011851912035
Mustard,2026-04-01,8868.776730737629
Mustard,2026-05-01,8556.264994180172
Mustard,2026-06-01,8155.675117536232
Mustard,2026-07-01,7782.440921245682
Mustard,2026-08-01,7533.26183959464
Mustard,2026-09-01,7476.531404888297
Mustard,2026-10-01,7626.727668675652
Mustard,2026-11-01,7943.762186967243
Mustard,2026-12-01,8342.33505929528
Groundnut,2026-01-01,8512.407797225756
Groundnut,2026-02-01,8720.29990791846
Groundnut,2026-03-01,8820.200204548826
Groundnut,2026-04-01,8671.698834606232
Groundnut,2026-05-01,8369.096044502425
Groundnut,2026-06-01,7967.312306940527
Groundnut,2026-07-01,7586.534430328826
Groundnut,2026-08-01,7322.759942589048
Groundnut,2026-09-01,7249.543596522355
Groundnut,2026-10-01,7385.11624165269
Groundnut,2026-11-01,7693.820509002276
Groundnut,2026-12-01,8092.63222786298
Sesame,2026-01-01,8602.168815456043
Sesame,2026-02-01,8855.205836144873
Sesame,2026-03-01,8940.374895831064
Sesame,2026-04-01,8805.817700541711
Sesame,2026-05-01,8499.668113177178
Sesame,2026-06-01,8098.803305073925
Sesame,2026-07-01,7712.613829331014
Sesame,2026-08-01,7443.574090636153
Sesame,2026-09-01,7364.052696673311
Sesame,2026-10-01,7495.178401153264
Sesame,2026-11-01,7801.922315641765
Sesame,2026-12-01,8202.165272689956
Linseed,2026-01-01,8796.371183044823
Linseed,2026-02-01,9072.03232688558
Linseed,2026-03-01,9145.626368522566
Linseed,2026-04-01,9011.656009162247
Linseed,2026-05-01,8700.786162171207
Linseed,2026-06-01,8298.261797409259
Linseed,2026-07-01,7911.250743515151
Linseed,2026-08-01,7643.735876818753
Linseed,2026-09-01,7567.316084367361
Linseed,2026-10-01,7702.507680769141
Linseed,2026-11-01,8013.065371998075
Linseed,2026-12-01,8415.762741638187
