Date,Commodity,State,District,Price,Land_Size_Acres,Market,Quantity
2015-12-12,Soybean,Maharashtra,Indore,4023.12,50,Indore,225
2015-12-13,Soybean,Maharashtra,Indore,3689.68,50,Indore,70
2015-12-14,Soybean,Maharashtra,Indore,3529.27,50,Indore,103
2015-12-15,Soybean,Maharashtra,Indore,4545.41,50,Indore,233
2015-12-16,Soybean,Maharashtra,Indore,3888.81,50,Indore,408
2015-12-17,Soybean,Maharashtra,Indore,3652.82,50,Indore,271
2015-12-18,Soybean,Maharashtra,Indore,3680.14,50,Indore,364
2015-12-19,Soybean,Maharashtra,Indore,3836.28,50,Indore,377
2015-12-20,Soybean,Maharashtra,Indore,3829.35,50,Indore,228
2015-12-21,Soybean,Maharashtra,Indore,4037.54,50,Indore,325
2015-12-22,Soybean,Maharashtra,Indore,4072.35,50,Indore,161
2015-12-23,Soybean,Maharashtra,Indore,4051.91,50,Indore,273
2015-12-24,Soybean,Maharashtra,Indore,4469.26,50,Indore,263
2015-12-25,Soybean,Maharashtra,Indore,4506.16,50,Indore,108
2015-12-26,Soybean,Maharashtra,Indore,3326.75,50,Indore,376
2015-12-27,Soybean,Maharashtra,Indore,4253.4,50,Indore,442
2015-12-28,Soybean,Maharashtra,Indore,4010.88,50,Indore,158
2015-12-29,Soybean,Maharashtra,Indore,4050.79,50,Indore,434
2015-12-30,Soybean,Maharashtra,Indore,3670.74,50,Indore,206
2015-12-31,Soybean,Maharashtra,Indore,4573.35,50,Indore,240
2016-01-01,Soybean,Maharashtra,Indore,4133.46,50,Indore,249
2016-01-02,Soybean,Maharashtra,Indore,4260.93,50,Indore,361
2016-01-03,Soybean,Maharashtra,Indore,4292.75,50,Indore,245
2016-01-04,Soybean,Maharashtra,Indore,4430.67,50,Indore,84
2016-01-05,Soybean,Maharashtra,Indore,4106.11,50,Indore,428
2016-01-06,Soybean,Maharashtra,Indore,4198.29,50,Indore,436
2016-01-07,Soybean,Maharashtra,Indore,4248.78,50,Indore,295
2016-01-08,Soybean,Maharashtra,Indore,4432.55,50,Indore,286
2016-01-09,Soybean,Maharashtra,Indore,4203.88,50,Indore,153
2016-01-10,Soybean,Maharashtra,Indore,4248.68,50,Indore,56
2016-01-11,Soybean,Maharashtra,Indore,4046.49,50,Indore,332
2016-01-12,Soybean,Maharashtra,Indore,4050.16,50,Indore,50
2016-01-13,Soybean,Maharashtra,Indore,4580.66,50,Indore,268
2016-01-14,Soybean,Maharashtra,Indore,4782.48,50,Indore,279
2016-01-15,Soybean,Maharashtra,Indore,4209.86,50,Indore,221
2016-01-16,Soybean,Maharashtra,Indore,4444.94,50,Indore,136
2016-01-17,Soybean,Maharashtra,Indore,3986.14,50,Indore,90
2016-01-18,Soybean,Maharashtra,Indore,4233.06,50,Indore,172
2016-01-19,Soybean,Maharashtra,Indore,4233.3,50,Indore,380
2016-01-20,Soybean,Maharashtra,Indore,4835.99,50,Indore,347
2016-01-21,Soybean,Maharashtra,Indore,4486.87,50,Indore,422
2016-01-22,Soybean,Maharashtra,Indore,3983.05,50,Indore,466
2016-01-23,Soybean,Maharashtra,Indore,3758.52,50,Indore,227
2016-01-24,Soybean,Maharashtra,Indore,4109.65,50,Indore,112
2016-01-25,Soybean,Maharashtra,Indore,4485.26,50,Indore,214
2016-01-26,Soybean,Maharashtra,Indore,4541.18,50,Indore,236
2016-01-27,Soybean,Maharashtra,Indore,4677.98,50,Indore,432
2016-01-28,Soybean,Maharashtra,Indore,3913.39,50,Indore,258
2016-01-29,Soybean,Maharashtra,Indore,4643.67,50,Indore,276
2016-01-30,Soybean,Maharashtra,Indore,4491.77,50,Indore,481
2016-01-31,Soybean,Maharashtra,Indore,4635.69,50,Indore,438
2016-02-01,Soybean,Maharashtra,Indore,4700.93,50,Indore,97
2016-02-02,Soybean,Maharashtra,Indore,5214.65,50,Indore,273
2016-02-03,Soybean,Maharashtra,Indore,4842.79,50,Indore,52
2016-02-04,Soybean,Maharashtra,Indore,4559.3,50,Indore,421
2016-02-05,Soybean,Maharashtra,Indore,4664.8,50,Indore,224
2016-02-06,Soybean,Maharashtra,Indore,4261.66,50,Indore,495
2016-02-07,Soybean,Maharashtra,Indore,4241.51,50,Indore,148
2016-02-08,Soybean,Maharashtra,Indore,4001.28,50,Indore,165
2016-02-09,Soybean,Maharashtra,Indore,4161.85,50,Indore,319
2016-02-10,Soybean,Maharashtra,Indore,4770.49,50,Indore,496
2016-02-11,Soybean,Maharashtra,Indore,4315.09,50,Indore,417
2016-02-12,Soybean,Maharashtra,Indore,4737.22,50,Indore,302
2016-02-13,Soybean,Maharashtra,Indore,4992.6,50,Indore,366
2016-02-14,Soybean,Maharashtra,Indore,4671.86,50,Indore,464
2016-02-15,Soybean,Maharashtra,Indore,4794.17,50,Indore,144
2016-02-16,Soybean,Maharashtra,Indore,4352.61,50,Indore,322
2016-02-17,Soybean,Maharashtra,Indore,4594.16,50,Indore,429
2016-02-18,Soybean,Maharashtra,Indore,5074.47,50,Indore,73
2016-02-19,Soybean,Maharashtra,Indore,4302.43,50,Indore,165
2016-02-20,Soybean,Maharashtra,Indore,4930.19,50,Indore,200
2016-02-21,Soybean,Maharashtra,Indore,5168.52,50,Indore,387
2016-02-22,Soybean,Maharashtra,Indore,4793.07,50,Indore,99
2016-02-23,Soybean,Maharashtra,Indore,4155.35,50,Indore,255
2016-02-24,Soybean,Maharashtra,Indore,4763.38,50,Indore,384
2016-02-25,Soybean,Maharashtra,Indore,4645.47,50,Indore,128
2016-02-26,Soybean,Maharashtra,Indore,4814.39,50,Indore,119
2016-02-27,Soybean,Maharashtra,Indore,4898.9,50,Indore,76
2016-02-28,Soybean,Maharashtra,Indore,4447.94,50,Indore,320
2016-02-29,Soybean,Maharashtra,Indore,4432.24,50,Indore,99
2016-03-01,Soybean,Maharashtra,Indore,4643.58,50,Indore,341
2016-03-02,Soybean,Maharashtra,Indore,4402.16,50,Indore,296
2016-03-03,Soybean,Maharashtra,Indore,4739.83,50,Indore,313
2016-03-04,Soybean,Maharashtra,Indore,4663.29,50,Indore,128
2016-03-05,Soybean,Maharashtra,Indore,5489.76,50,Indore,436
2016-03-06,Soybean,Maharashtra,Indore,4394.34,50,Indore,239
2016-03-07,Soybean,Maharashtra,Indore,4469.17,50,Indore,96
