Commodity,Date,SARIMA_Price
Groundnut,2026-01-01,5549.780775662928
Groundnut,2026-02-01,5776.066585963455
Groundnut,2026-03-01,5774.121598806321
Groundnut,2026-04-01,5901.916187249272
Groundnut,2026-05-01,5753.586428823516
Groundnut,2026-06-01,5824.856792090177
Groundnut,2026-07-01,5801.794911300429
Groundnut,2026-08-01,5527.007464830256
Groundnut,2026-09-01,5037.183944218831
Groundnut,2026-10-01,5065.1377688826005
Groundnut,2026-11-01,5097.633461230595
Groundnut,2026-12-01,5493.913442531601
Linseed (Flaxseed),2026-01-01,6372.146300172375
Linseed (Flaxseed),2026-02-01,6937.769528125103
Linseed (Flaxseed),2026-03-01,6948.725512373249
Linseed (Flaxseed),2026-04-01,7167.529302149796
Linseed (Flaxseed),2026-05-01,7345.325613241061
Linseed (Flaxseed),2026-06-01,6903.087337847505
Linseed (Flaxseed),2026-07-01,6833.715055126278
Linseed (Flaxseed),2026-08-01,6338.078773240611
Linseed (Flaxseed),2026-09-01,6266.749230714602
Linseed (Flaxseed),2026-10-01,5822.728941218616
Linseed (Flaxseed),2026-11-01,6802.9871302927595
Linseed (Flaxseed),2026-12-01,6659.139683491386
Mustard,2026-01-01,6187.231467319188
Mustard,2026-02-01,6270.777969157193
Mustard,2026-03-01,6715.870865310223
Mustard,2026-04-01,6761.2439594413645
Mustard,2026-05-01,6748.989871725994
Mustard,2026-06-01,6621.925179265395
Mustard,2026-07-01,6174.404004901443
Mustard,2026-08-01,6375.246524029175
Mustard,2026-09-01,6080.101992941683
Mustard,2026-10-01,6075.625122289761
Mustard,2026-11-01,5952.215647277254
Mustard,2026-12-01,6299.869648372314
Sesame,2026-01-01,4526.7426024766855
Sesame,2026-02-01,5795.4666642513885
Sesame,2026-03-01,4885.147867396582
Sesame,2026-04-01,5872.595306372936
Sesame,2026-05-01,5157.204433118757
Sesame,2026-06-01,4879.469587363684
Sesame,2026-07-01,5075.785016881304
Sesame,2026-08-01,4456.268165617862
Sesame,2026-09-01,4650.012447257749
Sesame,2026-10-01,4796.6161547845295
Sesame,2026-11-01,4622.426359124383
Sesame,2026-12-01,4953.222950510773
Soybean,2026-01-01,5247.110716294667
Soybean,2026-02-01,5392.537414254527
Soybean,2026-03-01,5694.4108102011405
Soybean,2026-04-01,5614.647140926746
Soybean,2026-05-01,5655.4630022466945
Soybean,2026-06-01,5610.564064269162
Soybean,2026-07-01,5383.260733931656
Soybean,2026-08-01,5296.737832023889
Soybean,2026-09-01,4592.656067222818
Soybean,2026-10-01,4733.326409526753
Soybean,2026-11-01,4840.9936931785205
Soybean,2026-12-01,5073.664408034686
